% массы <Адгезионная добавка>,% массы <Базовый битум>,% массы <Пластификатор>,% массы <Полимер>,% массы <Сшивающая добавка>,Исходная игла при 25С <Базовый битум>,Адгезионная добавка,Пластификатор,Полимер,Базовая пенетрация для расчёта пластификатора,Расчёт рецептуры на глубину проникания иглы при 25,"Глубина  проникания иглы при 0 °С, [мм-1]","Глубина  проникания иглы при 25 °С, [мм-1]","Растяжимость  при температуре 0 °С, [см]","Температура размягчения, [°С]"
0.0,90.4,5.9,3.6,0.1,79,Отсутствует,Plasticizer1,Polymer1,138,75,33.0,71.0,21.0,74.4
0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer2,Polymer2,138,75,32.0,71.0,16.0,72.8
0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer3,Polymer2,138,75,35.0,76.0,27.0,74.0
0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer4,Polymer2,138,75,30.0,65.0,13.0,75.0
0.3,89.0,7.0,3.6,0.1,79,Adhesion1,Plasticizer4,Polymer2,138,75,32.0,66.0,14.0,75.0
0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer5,Polymer2,138,75,36.0,87.0,41.0,73.0
0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer6,Polymer2,138,75,35.0,75.0,29.0,70.0
0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer7,Polymer2,138,75,23.0,63.0,18.0,77.0
0.3,87.8,8.2,3.6,0.1,79,Adhesion1,Plasticizer7,Polymer2,138,75,33.0,71.0,23.0,73.0
0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer8,Polymer2,138,75,31.0,71.0,18.0,72.0
0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer9,Polymer2,138,75,26.0,52.0,11.0,75.0
0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer10,Polymer2,138,75,26.0,55.0,11.0,76.0
0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer11,Polymer2,138,75,34.0,69.0,17.0,73.0
0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer12,Polymer1,138,75,26.0,64.0,19.0,74.0
0.0,88.0,8.3,3.6,0.1,75,Отсутствует,Plasticizer12,Polymer1,138,75,28.0,74.0,19.0,71.0
0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer13,Polymer1,138,75,34.0,75.0,30.0,69.0
0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer14,Polymer1,138,75,48.0,115.0,67.0,65.0
0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer14,Polymer1,138,75,32.0,76.0,27.0,69.0
0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer15,Polymer1,138,75,46.0,113.0,49.0,62.0
0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer15,Polymer1,105,75,30.0,73.0,26.0,70.0
0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer16,Polymer1,138,75,26.0,67.0,17.0,74.0
0.0,88.0,8.3,3.6,0.1,75,Отсутствует,Plasticizer16,Polymer1,138,75,32.0,82.0,35.0,73.0
0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer17,Polymer1,138,75,32.0,78.0,25.0,71.0
0.0,88.0,8.3,3.6,0.1,75,Отсутствует,Plasticizer17,Polymer1,138,75,35.0,84.0,33.0,71.0
0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer18,Polymer1,138,75,33.0,75.0,21.0,75.0
0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer19,Polymer1,138,75,30.0,65.0,26.0,73.0
0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer19,Polymer1,138,75,32.0,78.0,22.0,67.0
0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer20,Polymer1,138,75,40.0,91.0,35.0,72.0
0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer20,Polymer1,138,75,38.0,84.0,23.0,71.0
0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer21,Polymer1,138,75,32.0,76.0,25.0,62.0
0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer4,Polymer1,138,75,32.0,82.0,28.0,73.0
0.0,88.3,8.0,3.6,0.1,75,Отсутствует,Plasticizer4,Polymer1,138,75,32.0,78.0,22.0,73.0
0.0,93.8,2.5,3.6,0.1,75,Отсутствует,Plasticizer22,Polymer1,138,75,34.0,80.0,36.0,71.0
0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer22,Polymer1,105,75,38.0,87.0,34.0,66.0
0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer23,Polymer1,105,75,38.0,89.0,39.0,68.0
0.0,93.6,2.2,4.1,0.1,75,Отсутствует,Plasticizer19,Polymer1,97,75,23.0,52.0,16.0,80.0
0.0,93.95,2.2,3.75,0.1,75,Отсутствует,Plasticizer19,Polymer1,97,75,25.0,55.0,12.0,76.0
0.35,78.75,17.0,3.8,0.1,75,Adhesion2,Plasticizer19,Polymer1,245,75,55.0,155.0,56.0,71.0
0.0,89.59,6.6,3.7,0.11,101,Отсутствует,Plasticizer2,Polymer1,141,110,34.0,87.0,29.20283018867924,76.8
0.3,91.49,4.4,3.7,0.11,76,Adhesion2,Plasticizer2,Polymer1,120,75,30.0,58.0,12.0,77.0
0.0,94.3,2.0,3.6,0.1,75,Отсутствует,Plasticizer18,Polymer1,95,75,26.0,55.0,12.0,78.0
0.0,92.22,5.0,2.7,0.08,75,Отсутствует,Plasticizer18,Polymer1,125,75,30.0,70.0,20.0,59.0
0.0,89.95,6.2,3.75,0.1,73,Отсутствует,Plasticizer24,Polymer2,139,75,34.0,81.0,44.0,77.0
0.3,89.329,6.5,3.75,0.121,72,Adhesion1,Plasticizer19,Polymer2,102,75,35.0,80.0,37.0,76.0
0.3,90.242,5.6,3.75,0.108,78,Adhesion3,Plasticizer24,Polymer1,134,75,36.0,73.0,45.0,70.0
0.3,88.742,7.1,3.75,0.108,66,Adhesion3,Plasticizer19,Polymer2,134,75,30.0,71.0,26.7,76.0
0.3,89.142,6.7,3.75,0.108,70,Adhesion1,Plasticizer24,Polymer2,137,75,33.0,74.0,27.0,73.0
0.3,89.6,6.3,3.7,0.1,74,Adhesion4,Plasticizer24,Polymer1,137,75,34.0,76.0,37.0,77.0
0.3,88.743,7.099,3.75,0.108,71,Adhesion4,Plasticizer24,Polymer2,142,75,32.0,72.0,28.0,74.0
0.294,92.526,3.557,3.533,0.09,73,Adhesion1,Plasticizer24,Polymer2,125,75,32.0,68.0,21.0,74.0
0.303,90.607,5.348,3.633,0.109,77,Adhesion1,Plasticizer24,Polymer1,130,75,34.0,73.0,20.0,75.0
0.0,91.512,4.864,3.524,0.1,86,Отсутствует,Plasticizer25,Polymer2,135,75,32.0,76.0,27.0,75.0
0.0,92.216,4.093,3.591,0.1,92,Отсутствует,Plasticizer24,Polymer2,133,75,32.0,74.0,20.0,71.0
0.0,91.542,4.806,3.552,0.1,82,Отсутствует,Plasticizer24,Polymer1,130,75,33.0,77.0,17.0,73.0
0.0,92.052,4.299,3.549,0.1,87,Отсутствует,Plasticizer24,Polymer1,130,75,32.0,75.0,28.0,79.0
0.0,90.75,5.6,3.55,0.1,81,Отсутствует,Plasticizer19,Polymer3,137,75,33.0,76.0,25.0,70.0
0.3,90.613,5.497,3.548,0.042,80,Adhesion1,Plasticizer18,Polymer1,135,75,34.0,75.0,28.0,70.0
0.0,95.151,1.2,3.549,0.1,129,Отсутствует,Plasticizer18,Polymer2,141,75,32.0,90.0,37.0,77.0
0.0,90.201,6.099,3.6,0.1,80,Отсутствует,Plasticizer18,Polymer1,140,75,32.0,84.0,49.0,77.0
0.0,90.152,6.199,3.549,0.1,79,Отсутствует,Plasticizer18,Polymer1,141,75,32.0,83.0,45.0,76.0
0.0,90.0,6.4,3.5,0.1,80,Отсутствует,Plasticizer19,Polymer2,144,75,33.0,78.0,39.0,69.0
0.0,89.951,6.399,3.55,0.1,73,Отсутствует,Plasticizer18,Polymer1,115,75,40.0,73.0,57.0,77.0
0.0,90.45,6.0,3.45,0.1,74,Отсутствует,Plasticizer18,Polymer1,142,75,32.0,75.05607476635514,25.0,73.0
