id,% массы <Адгезионная добавка>,% массы <Базовый битум>,% массы <Пластификатор>,% массы <Полимер>,% массы <Сшивающая добавка>,Исходная игла при 25С <Базовый битум>,Адгезионная добавка,Пластификатор,Полимер,Базовая пенетрация для расчёта пластификатора,Расчёт рецептуры на глубину проникания иглы при 25
0,0.0,90.4,5.9,3.6,0.1,79,Отсутствует,Plasticizer1,Polymer1,138,75
1,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer2,Polymer2,138,75
2,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer3,Polymer2,138,75
3,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer4,Polymer2,138,75
4,0.3,89.0,7.0,3.6,0.1,79,Adhesion1,Plasticizer4,Polymer2,138,75
5,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer5,Polymer2,138,75
6,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer6,Polymer2,138,75
7,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer7,Polymer2,138,75
8,0.3,87.8,8.2,3.6,0.1,79,Adhesion1,Plasticizer7,Polymer2,138,75
9,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer8,Polymer2,138,75
10,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer9,Polymer2,138,75
11,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer10,Polymer2,138,75
12,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer11,Polymer2,138,75
13,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer12,Polymer1,138,75
14,0.0,88.0,8.3,3.6,0.1,75,Отсутствует,Plasticizer12,Polymer1,138,75
15,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer13,Polymer1,138,75
16,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer14,Polymer1,138,75
17,0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer14,Polymer1,138,75
18,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer15,Polymer1,138,75
19,0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer15,Polymer1,105,75
20,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer16,Polymer1,138,75
21,0.0,88.0,8.3,3.6,0.1,75,Отсутствует,Plasticizer16,Polymer1,138,75
22,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer17,Polymer1,138,75
23,0.0,88.0,8.3,3.6,0.1,75,Отсутствует,Plasticizer17,Polymer1,138,75
24,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer18,Polymer1,138,75
25,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer19,Polymer1,138,75
26,0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer19,Polymer1,138,75
27,0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer20,Polymer1,138,75
28,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer20,Polymer1,138,75
29,0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer21,Polymer1,138,75
30,0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer4,Polymer1,138,75
31,0.0,88.3,8.0,3.6,0.1,75,Отсутствует,Plasticizer4,Polymer1,138,75
32,0.0,93.8,2.5,3.6,0.1,75,Отсутствует,Plasticizer22,Polymer1,138,75
33,0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer22,Polymer1,105,75
34,0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer23,Polymer1,105,75
35,0.0,93.6,2.2,4.1,0.1,75,Отсутствует,Plasticizer19,Polymer1,97,75
36,0.0,93.95,2.2,3.75,0.1,75,Отсутствует,Plasticizer19,Polymer1,97,75
37,0.35,78.75,17.0,3.8,0.1,75,Adhesion2,Plasticizer19,Polymer1,245,75
38,0.0,89.59,6.6,3.7,0.11,101,Отсутствует,Plasticizer2,Polymer1,141,110
39,0.3,91.49,4.4,3.7,0.11,76,Adhesion2,Plasticizer2,Polymer1,120,75
40,0.0,97.56,0.2,2.2,0.04,88,Отсутствует,Plasticizer2,Polymer2,90,75
41,0.0,94.3,2.0,3.6,0.1,75,Отсутствует,Plasticizer18,Polymer1,95,75
42,0.0,92.22,5.0,2.7,0.08,75,Отсутствует,Plasticizer18,Polymer1,125,75
43,0.0,89.95,6.2,3.75,0.1,73,Отсутствует,Plasticizer24,Polymer2,139,75
44,0.3,89.329,6.5,3.75,0.121,72,Adhesion1,Plasticizer19,Polymer2,102,75
45,0.3,90.242,5.6,3.75,0.108,78,Adhesion3,Plasticizer24,Polymer1,134,75
46,0.3,88.742,7.1,3.75,0.108,66,Adhesion3,Plasticizer19,Polymer2,134,75
47,0.3,89.642,6.2,3.75,0.108,72,Adhesion3,Plasticizer24,Polymer2,134,75
48,0.3,89.142,6.7,3.75,0.108,70,Adhesion1,Plasticizer24,Polymer2,137,75
49,0.3,89.6,6.3,3.7,0.1,74,Adhesion4,Plasticizer24,Polymer1,137,75
50,0.3,89.6,6.3,3.7,0.1,81,Adhesion4,Plasticizer24,Polymer4,185,75
51,0.3,88.64,7.201,3.751,0.108,81,Adhesion4,Plasticizer24,Polymer2,142,75
52,0.3,88.743,7.099,3.75,0.108,71,Adhesion4,Plasticizer24,Polymer2,142,75
53,0.294,92.526,3.557,3.533,0.09,73,Adhesion1,Plasticizer24,Polymer2,125,75
54,0.303,90.607,5.348,3.633,0.109,77,Adhesion1,Plasticizer24,Polymer1,130,75
55,0.0,91.512,4.864,3.524,0.1,86,Отсутствует,Plasticizer25,Polymer2,135,75
56,0.0,92.216,4.093,3.591,0.1,92,Отсутствует,Plasticizer24,Polymer2,133,75
57,0.0,91.542,4.806,3.552,0.1,82,Отсутствует,Plasticizer24,Polymer1,130,75
58,0.0,91.852,4.499,3.549,0.1,83,Отсутствует,Plasticizer24,Polymer1,128,75
59,0.0,91.397,4.93,3.572,0.101,81,Отсутствует,Plasticizer24,Polymer1,130,75
60,0.0,92.052,4.299,3.549,0.1,87,Отсутствует,Plasticizer24,Polymer1,130,75
61,0.0,90.75,5.6,3.55,0.1,81,Отсутствует,Plasticizer19,Polymer3,137,75
62,0.3,90.613,5.497,3.548,0.042,80,Adhesion1,Plasticizer18,Polymer1,135,75
63,0.0,95.151,1.2,3.549,0.1,129,Отсутствует,Plasticizer18,Polymer2,141,75
64,0.0,90.201,6.099,3.6,0.1,80,Отсутствует,Plasticizer18,Polymer1,140,75
65,0.0,90.152,6.199,3.549,0.1,79,Отсутствует,Plasticizer18,Polymer1,141,75
66,0.0,90.0,6.4,3.5,0.1,80,Отсутствует,Plasticizer19,Polymer2,144,75
67,0.0,89.402,6.799,3.699,0.1,71,Отсутствует,Plasticizer24,Polymer2,140,75
68,0.295,91.103,5.027,3.534,0.041,73,Adhesion4,Plasticizer24,Polymer2,132,75
69,0.301,91.119,4.922,3.616,0.042,73,Adhesion4,Plasticizer24,Polymer2,132,75
70,0.0,92.45,3.9,3.55,0.1,79,Отсутствует,Plasticizer24,Polymer1,132,75
71,0.0,89.951,6.399,3.55,0.1,73,Отсутствует,Plasticizer18,Polymer1,115,75
72,0.0,90.45,6.0,3.45,0.1,74,Отсутствует,Plasticizer18,Polymer1,142,75
73,0.0,89.95,6.2,3.75,0.1,83,Отсутствует,Plasticizer24,Polymer2,139,75
74,0.0,90.248,5.9,3.752,0.1,78,Отсутствует,Plasticizer24,Polymer2,139,75
75,0.3,90.242,5.6,3.75,0.108,73,Adhesion1,Plasticizer24,Polymer2,132,75
76,0.0,92.25,3.9,3.75,0.1,99,Отсутствует,Plasticizer24,Polymer2,130,75
77,0.3,89.742,6.1,3.75,0.108,70,Adhesion3,Plasticizer24,Polymer2,137,75
78,0.3,89.642,6.2,3.75,0.108,75,Adhesion3,Plasticizer24,Polymer1,135,75
79,0.3,90.942,4.9,3.75,0.108,71,Adhesion3,Plasticizer24,Polymer1,135,75
80,0.3,89.842,6.0,3.75,0.108,75,Adhesion3,Plasticizer24,Polymer1,135,75
81,0.3,90.842,5.0,3.75,0.108,86,Adhesion3,Plasticizer24,Polymer2,133,75
82,0.3,89.942,5.9,3.75,0.108,71,Adhesion3,Plasticizer24,Polymer2,130,75
83,0.3,91.442,4.4,3.75,0.108,79,Adhesion3,Plasticizer24,Polymer2,130,75
84,0.3,89.642,6.2,3.75,0.108,66,Adhesion3,Plasticizer24,Polymer2,130,75
85,0.3,89.758,6.2,3.7,0.042,71,Adhesion3,Plasticizer24,Polymer2,133,75
86,0.3,91.642,4.2,3.75,0.108,73,Adhesion3,Plasticizer24,Polymer2,130,75
87,0.3,91.642,4.2,3.75,0.108,74,Adhesion3,Plasticizer24,Polymer1,130,75
88,0.3,90.142,5.7,3.75,0.108,73,Adhesion3,Plasticizer24,Polymer1,130,75
89,0.3,88.442,7.4,3.75,0.108,63,Adhesion3,Plasticizer24,Polymer1,137,75
90,0.3,89.642,6.2,3.75,0.108,67,Adhesion3,Plasticizer19,Polymer2,139,75
91,0.3,89.742,6.1,3.75,0.108,83,Adhesion3,Plasticizer19,Polymer2,139,75
92,0.3,88.875,7.0,3.717,0.108,69,Adhesion3,Plasticizer19,Polymer1,139,75
93,0.0,89.85,6.3,3.75,0.1,70,Отсутствует,Plasticizer19,Polymer2,139,75
94,0.3,89.55799999999999,6.4,3.7,0.042,75,Adhesion3,Plasticizer19,Polymer2,139,75
95,0.3,90.542,5.3,3.75,0.108,72,Adhesion3,Plasticizer19,Polymer2,132,75
96,0.3,89.942,5.9,3.75,0.108,73,Adhesion3,Plasticizer19,Polymer2,103,75
97,0.3,89.742,6.1,3.75,0.108,72,Adhesion3,Plasticizer24,Polymer2,134,75
98,0.3,89.056,6.901,3.701,0.042,87,Adhesion4,Plasticizer25,Polymer2,78,75
99,0.3,89.391,6.567,3.7,0.042,67,Adhesion4,Plasticizer24,Polymer2,142,75
100,0.3,88.761,7.199,3.699,0.041,68,Adhesion4,Plasticizer24,Polymer2,142,75
101,0.0,90.2,6.0,3.7,0.1,79,Отсутствует,Plasticizer24,Polymer2,139,75
102,0.3,89.842,6.0,3.75,0.108,75,Adhesion4,Plasticizer24,Polymer2,139,75
103,0.3,89.944,5.899,3.749,0.108,79,Adhesion1,Plasticizer24,Polymer2,139,75
104,0.3,88.925,6.917,3.75,0.108,71,Adhesion1,Plasticizer24,Polymer2,105,75
105,0.293,91.142,5.206,3.27,0.089,72,Adhesion1,Plasticizer24,Polymer2,103,75
106,0.311,91.652,4.04,3.885,0.112,79,Adhesion4,Plasticizer24,Polymer2,118,75
107,0.0,90.85,5.501,3.549,0.1,80,Отсутствует,Plasticizer25,Polymer2,135,75
